step,gate_operation,comparison_type,max_diff,total_diff,mean_diff,n_qubits,a,b,c,timestamp
11,X(qubit=1),CDF_vs_DeepQ,0.004872035394097686,0.0216429291539504,0.0027053661442438,3,20,0,0,2026-02-28T06:53:16.003815
11,X(qubit=1),Orig_vs_DeepQ,0.005111539994018042,0.024123844349469393,0.003015480543683674,3,20,0,0,2026-02-28T06:53:16.003815
11,X(qubit=1),CDF_vs_Orig,0.0019518194158622477,0.008467807487570787,0.0010584759359463483,3,20,0,0,2026-02-28T06:53:16.003815
12,Y(qubit=1),CDF_vs_DeepQ,0.004872009025965299,0.02164285382589614,0.0027053567282370175,3,20,0,0,2026-02-28T06:53:16.003815
12,Y(qubit=1),Orig_vs_DeepQ,0.005111529593787133,0.024123793252429367,0.003015474156553671,3,20,0,0,2026-02-28T06:53:16.003815
12,Y(qubit=1),CDF_vs_Orig,0.0019518194158622477,0.008467789979682876,0.0010584737474603595,3,20,0,0,2026-02-28T06:53:16.003815
13,S(qubit=2),CDF_vs_DeepQ,0.004871968768986154,0.02164276348537384,0.00270534543567173,3,20,0,0,2026-02-28T06:53:16.003815
13,S(qubit=2),Orig_vs_DeepQ,0.005111487450429953,0.02412372479902449,0.0030154655998780614,3,20,0,0,2026-02-28T06:53:16.003815
13,S(qubit=2),CDF_vs_Orig,0.0019518194158622477,0.008467783279830348,0.0010584729099787935,3,20,0,0,2026-02-28T06:53:16.003815
14,Y(qubit=2),CDF_vs_DeepQ,0.004872009025965299,0.021642940115744892,0.0027053675144681115,3,20,0,0,2026-02-28T06:53:16.003815
14,Y(qubit=2),Orig_vs_DeepQ,0.005111529593787133,0.024123854300992686,0.0030154817876240857,3,20,0,0,2026-02-28T06:53:16.003815
14,Y(qubit=2),CDF_vs_Orig,0.0019518194158622477,0.008467807163061798,0.0010584758953827247,3,20,0,0,2026-02-28T06:53:16.003815
15,X(qubit=0),CDF_vs_DeepQ,0.004872009025965299,0.021642940115744892,0.0027053675144681115,3,20,0,0,2026-02-28T06:53:16.003815
15,X(qubit=0),Orig_vs_DeepQ,0.005111529593787133,0.024123854300992686,0.0030154817876240857,3,20,0,0,2026-02-28T06:53:16.003815
15,X(qubit=0),CDF_vs_Orig,0.0019518194158622477,0.008467807163061798,0.0010584758953827247,3,20,0,0,2026-02-28T06:53:16.003815
16,Y(qubit=1),CDF_vs_DeepQ,0.004872035394097686,0.02164285812267521,0.0027053572653344014,3,20,0,0,2026-02-28T06:53:16.003815
16,Y(qubit=1),Orig_vs_DeepQ,0.005111539994018042,0.024123822228755,0.003015477778594375,3,20,0,0,2026-02-28T06:53:16.003815
16,Y(qubit=1),CDF_vs_Orig,0.0019518194158622477,0.008467802694069715,0.0010584753367587144,3,20,0,0,2026-02-28T06:53:16.003815
17,T(qubit=0),CDF_vs_DeepQ,0.004872040962738588,0.021642925773450325,0.0027053657216812906,3,20,0,0,2026-02-28T06:53:16.003815
17,T(qubit=0),Orig_vs_DeepQ,0.005111543836473526,0.02412385355164493,0.003015481693955616,3,20,0,0,2026-02-28T06:53:16.003815
17,T(qubit=0),CDF_vs_Orig,0.0019518137698270564,0.008467781328751405,0.0010584726660939256,3,20,0,0,2026-02-28T06:53:16.003815
18,S(qubit=2),CDF_vs_DeepQ,0.004872040962738588,0.02164301822977366,0.0027053772787217073,3,20,0,0,2026-02-28T06:53:16.003815
18,S(qubit=2),Orig_vs_DeepQ,0.005111543836473526,0.02412389887883521,0.0030154873598544013,3,20,0,0,2026-02-28T06:53:16.003815
18,S(qubit=2),CDF_vs_Orig,0.0019518101670565502,0.008467804130223418,0.0010584755162779272,3,20,0,0,2026-02-28T06:53:16.003815
19,S(qubit=1),CDF_vs_DeepQ,0.004872040962738588,0.021643004303060546,0.0027053755378825682,3,20,0,0,2026-02-28T06:53:16.003815
19,S(qubit=1),Orig_vs_DeepQ,0.005111543836473526,0.024123877998705093,0.0030154847498381366,3,20,0,0,2026-02-28T06:53:16.003815
19,S(qubit=1),CDF_vs_Orig,0.0019518137698270564,0.008467807732993923,0.0010584759666242404,3,20,0,0,2026-02-28T06:53:16.003815
20,"CH(control=1, target=2)",CDF_vs_DeepQ,0.005369897039999412,0.024792762249103758,0.0030990952811379697,3,20,0,0,2026-02-28T06:53:16.003815
